username,userid,profile_location,created_at,text,retweet_count,source,coordinates
Resource Exploration,3277698972,"Denver, CO",2015-07-12 18:51:47,"Fostering intentional collaboration between sustainability, budget + procurement officers can yield an accelerated… https://t.co/vtuXVkKDht",4,Twitter Web App,
Richard Bartlett,2890417759,"Denver, CO",2014-11-05 02:32:10,"@GrantCardone People are brainwashed through fear, from older f@#ks, about climate change b.s, racist b.s like its… https://t.co/dNwlaQ1Jk1",0,Twitter for Android,
Tony Van Bynen,19634262,Newmarket-Aurora,2009-01-28 03:39:59,"In addition to our announcement of sales targets for zero-emission vehicles (ZEVs), we are also investing in more c… https://t.co/ZrbHSIx3WC",0,Sprout Social,
John Orr,250402748,"Denver, CO",2011-02-11 01:11:20,Want to solve climate change? This California farm kingdom holds a key https://t.co/MM6TvnXuRS,0,Twitter Web App,
J-Dawg,26433349,"Denver, CO",2009-03-25 04:51:07,@JohnQMilktoast @Malvenue @schroedysferret Right. Maybe Covid caused the climate change too...,0,Twitter for Android,
Diversity Requires Freedom 🐳,46046558,"Denver, CO",2009-06-10 05:34:50,@NatGeoTravel Nobody is “studying climate change”. They’re just milking the great god of popular consensus.,0,Twitter for iPhone,
Blackfoot,831217770448629760,"Denver, CO",2017-02-13 19:05:34,"@jeffyou97854166 @CarlosM96952014 @RonFilipkowski Or before, they are turning off a lot of GenZ voters by the milli… https://t.co/B2xKuFkbhT",0,Twitter for iPhone,
J-Dawg,26433349,"Denver, CO",2009-03-25 04:51:07,@Malvenue @schroedysferret Did he die of Covid or climate change.,0,Twitter for Android,
Shawn Lerch,814712925164224512,"Denver, CO",2016-12-30 06:01:12,"@PeterDClack @mike_d_diesel There is ONE Scientific Method. But, garbage in/out. There is no amount of data ever co… https://t.co/LktE1qexx7",0,Twitter for iPhone,
Jennifer Sey,106218069,"Denver, CO",2010-01-18 21:38:57,"Yeah … no. 

Do you think the folks at Davos are drinking coffee? 🤔🤔 https://t.co/LVQSXwsjT4",5,Twitter for iPhone,
Sarah Snead,1174854655358033920,"Denver, CO",2019-09-20 01:16:01,"""My electric heat pump kept my house warm on Denver’s coldest day in 60 years without burning natural gas. Ditching… https://t.co/DLyxHx6YCL",0,Twitter Web App,
National Environmental Health Association (NEHA),149254805,"Denver, CO",2010-05-28 20:41:40,Learn to navigate the lines between advocacy and lobbying about climate change at our webinar on January 25. Our pa… https://t.co/ddzpzXnLey,1,Hootsuite Inc.,
Mike Nelson,408068123,"Denver, CO",2011-11-08 22:59:48,@Do_Not_Comply84 John Coleman died 5 years ago.  He accomplished some great things with TWC - but he was wrong abou… https://t.co/qsAYWNsktJ,0,TweetDeck,
🥔⛤Crone-Energy Potato⛤🥔 {Ace}🚩,1510306472147578882,"Denver, CO",2022-04-02 17:21:44,"@patriach2051 Except it IS cost effective, and the dogma of climate change denial is literally a fucking scam to ke… https://t.co/G1u3Rin2so",0,Twitter for Android,
USGBC Colorado,115743502,"Denver, Colorado",2010-02-19 19:37:40,"Check out this interview with our Regional Director, Charlie Woodruff discussing Colorado's #Top10LEED designation:… https://t.co/t4DIHEpebG",1,Twitter Web App,
American Water Works Association,95236446,"Denver, Colorado",2009-12-07 16:56:18,"VIDEO: Alaska: Climate Change vs. Water Infrastructure
https://t.co/4jZP8OznAV

In #Alaska, melting permafrost &amp; ri… https://t.co/qT4668V7au",0,Agorapulse app,
Ernst Ehrlich,335079068,"Aurora, CO",2011-07-14 03:33:57,"@DrewHLive Just think of the number of people you could kill of with a single earthquake, tornado, or hurricane! Na… https://t.co/RwveEFcsIq",0,Twitter Web App,
Not A Celebrity,428932674,Denver,2011-12-05 10:41:25,"#ClimateScam #ClimateCrisis 
Well, well, well...

https://t.co/iaf6ORN8c9",1,Twitter Web App,
Kyle,1529256643849883649,"Denver, CO",2022-05-25 00:23:08,@BrentScher @FreeBeacon @SusannahLuthi Anything but 70 and sunny is climate change to a Californian.,0,Twitter for iPhone,
Tanner Ehmke,30873459,"Greenwood Village, CO",2009-04-13 14:24:56,"Fake #meat companies promised to halt climate change, protect animals and make people healthier— while making billi… https://t.co/VxyXj4XCYw",0,Twitter Web App,
The Denver Post,8216772,"Denver, CO",2007-08-16 04:20:09,Search for the word “climate” on Twitter and the first automatic recommendation isn’t “climate crisis” or “climate… https://t.co/aTdbXr5M6d,4,SocialFlow,
Eric Johnson,1595179052800782337,"Denver, CO",2022-11-22 22:16:38,"""Stopping Climate Change"" Seems FUN https://t.co/gvH6eyAWKb via @YouTube

World, economic summit, the biggest farce… https://t.co/9OYSL39291",0,Twitter for iPhone,
Gus,237572596,"Denver, CO",2011-01-13 03:59:08,Here we go again. Climate change and economic parity! You can close your eyes and vote for any Democrats and they'l… https://t.co/3h9T7SfGDC,0,Twitter Web App,
Gus,237572596,"Denver, CO",2011-01-13 03:59:08,@Pokemon92253679 LOL! Climate change economic and parity! $65 million is loose change for Democrats.,0,Twitter Web App,
David,1602488752412119040,"Denver, CO",2022-12-13 02:21:16,@newbelgium @FatTire @axios Climate change is a hoax,0,Twitter for iPhone,
QueenCityJamz,1560736404,"Denver, CO",2013-07-01 15:11:49,@WovenAntelope climate change is real,0,Twitter Web App,
OPINIONSlikeKITTENS,564904396,Denver,2012-04-27 20:42:06,"@Bryan4Aurora @KyleClark They also have fuzzy memories, deny climate change, and their trucks block sidewalks. And… https://t.co/CdynBjevxY",0,Twitter for iPhone,
Leon,1585321733497577473,Denver,2022-10-26 17:26:58,@stillgray Climate Change and Video games defiantly nothing else https://t.co/G2IAWuOtUo,0,Twitter Web App,
TheRealRegFields,52888397,"Denver, CO",2009-07-01 23:23:39,The climate change that we should actually be worried about is the change in the social climate and lack of civility in today’s society.,0,Twitter for iPad,
Patrick Fleming,3289326487,"Lakewood, CO",2015-07-24 02:38:28,@MaybeImALeo We’re all sucking up resources and churning out plastic waste like there’s no problem. Climate change… https://t.co/NBZpCx81KM,0,Twitter for iPhone,
Ramona Eid,84602512,Denver,2009-10-23 14:21:55,"Coffee’s ‘contribution to climate change' is just the ‘tip of the iceberg,’ study says https://t.co/KejhFlzEVH #FoxNews",0,Twitter Web App,
drew,169832059,"Thornton, CO",2010-07-23 07:55:04,@GretaThunberg Staged arrest? Really? The only thing you’re doing is proving climate change is a hoax.  HOW DARE YOU 😂😂😂😂🤦‍♂️,0,Twitter for iPhone,
Meghan Nutting,4126543872,"Denver, CO",2015-11-04 18:27:25,"""Today, fossil fuel producers and their enablers are still racing to expand production, knowing full well that thei… https://t.co/gPtieZXUM8",9,Twitter Web App,
Sally Blinn,2196790266,Denver Colorado,2013-11-15 23:42:08,"@nathaliejacoby1 Climate change is ruining the beautiful summers we used to have. 
Okay, I have 2. The price of hou… https://t.co/3heNfc5apF",0,Twitter Web App,
Lisa for Denver,1580256722303610880,"Denver, CO",2022-10-12 17:59:20,"""We can be a model city where small businesses thrive, and workers are paid equitably. Where all neighborhoods are… https://t.co/5FvF74eIyP",0,Twitter Web App,
Jeff Pollock,134206234,Denver,2010-04-17 19:04:29,Definitive proof climate change exists. Six months ago this would’ve been rain. https://t.co/LqEgvsx6Xf,0,Twitter for iPad,
Sandra M Bernard,335665214,"Denver, CO",2011-07-15 01:39:58,⁦@laurenboebert⁩ to speak at a leading climate change denial conference while her constituents are suffering from o… https://t.co/B9TntLCnQ8,0,Twitter for iPhone,
Leon,1585321733497577473,Denver,2022-10-26 17:26:58,@jakeshieldsajj man made climate change is negligible compared to natural climate change.,0,Twitter Web App,
John Frank,61555301,"Denver, CO",2009-07-30 18:08:56,"My @axios taste test: @newbelgium's new Fat Tire  https://t.co/enSzx1UnHp 

And more about the iconic beer's rebran… https://t.co/MOPJbZVKPG",0,Twitter Web App,
Jeremy Robinson,837386658706243584,"Denver, CO",2017-03-02 19:38:32,@Jim_Jordan FFS gas stove are the new front in the culture war!? This is getting absurd. The issue w/gas stoves isn… https://t.co/3N44ZqR9hQ,0,Twitter Web App,
Denver Guy,1447138836195074048,Denver,2021-10-10 09:56:34,"@WTFEKGAFMYT @thedavidcrosby So, what, this is your proof that climate change isnt real? That Greta is creating pro… https://t.co/RO6BX3nkW4",0,Twitter Web App,
Dr. E Freudenthal,632969342,"Denver, CO",2012-07-11 15:10:03,"At least, if you are taking this question seriously? Second place would be the business interests refusing to mitig… https://t.co/Z7d7SSpQGo",0,Twitter Web App,
Mike Guthrie,485312250,"Lakewood, CO",2012-02-07 02:21:49,@johnrobertsFox @AmericaRpts The same old tired complaint that is just an attempt to undermine climate change efforts.,0,Twitter Web App,
(((Michael Glass)))3rd-Generation Ukrainian,1379625458631905280,"Denver, CO",2021-04-07 02:42:19,@krassenstein @Betterw05759703 @GretaThunberg I attended her rally here in Denver a couple years ago. It was so muc… https://t.co/CoHQ74ux3A,0,Twitter Web App,
playable character 🗣,450690820,"Denver, CO",2011-12-30 14:58:45,@TheInsiderPaper We need to stop saving them bears. Let climate change take care of some business,0,Twitter Web App,
John Smith,1041673722048835584,Aurora Co.,2018-09-17 13:02:23,@gatewaypundit 4.5 billion years of climate change and Kerry thinks he is going to stop it? He doesn't even know if… https://t.co/LAv3eI932r,0,Twitter Web App,
John Orr,250402748,"Denver, CO",2011-02-11 01:11:20,Climate change from 1880-2022 — @ScottDuncanWXClimate change from 1880-2022 — https://t.co/2E1J4lPHcU,0,Jetpack.com,
J-Dawg,26433349,"Denver, CO",2009-03-25 04:51:07,Climate change making it snow 34% more I think... not sure we'll survive https://t.co/6PhwR5Hvfb,0,Twitter for Android,
Gus,237572596,"Denver, CO",2011-01-13 03:59:08,Of course they frame everything around climate change. It's just weather. I think Denver is slowly becoming like Ca… https://t.co/N6GQTjxKpS,0,Twitter Web App,
Gus,237572596,"Denver, CO",2011-01-13 03:59:08,"Climate change has become a religion and Greta Thunberg is their Jesus. Even for center-left Democrats, Khive, and Donuts Twitter.",0,Twitter Web App,
The Denver Post,8216772,"Denver, CO",2007-08-16 04:20:09,"Opinion | As winter warms in the Alps, skiing may become a thing of the past https://t.co/rrDEOf26wa",0,SocialFlow,
TeeLee🌻🌊,1468422324,Aurora CO,2013-05-29 23:03:28,"@MarkThomasIw @LarryC2112 C'mon man, just admit you're wrong https://t.co/7EoEhJj6Ej",0,Twitter for Android,
TeeLee🌻🌊,1468422324,Aurora CO,2013-05-29 23:03:28,@MarkThomasIw You're just plain full of blarney!🙄🤦🏼‍♀️ https://t.co/7EoEhJj6Ej,0,Twitter for Android,
Estefan Escobar Cortez,26913866,"Denver, CO",2009-03-27 01:31:53,@FOX5Vegas That dang climate change,0,Twitter for iPhone,
Ryan Mahon,3135174015,"Denver, CO",2015-04-04 21:53:07,@chigrl Political elite are using climate change as cover to print money and save the system that they benefit most from,0,Twitter for iPhone,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,"Not that it matters that much but when my niece and nephew ask me why climate change is a problem, I will explain t… https://t.co/za8rQPNs99",9,Twitter for iPhone,
Mike Pyett,954592800363851776,"Denver, CO",2018-01-20 05:53:53,"@thelukemullen Ain't no such thing as a 'climate crisis '. Or global warming, or climate change. There is absolutel… https://t.co/d2wK5bKctG",0,Twitter for Android,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,@peterkmurphy The goal is total and complete decarbonization of the grid that will last for generations. Nuclear do… https://t.co/Dk3DvEFBip,2,Twitter for iPhone,
Phil Ord ⚛️⚡,3241582734,"Denver, CO",2015-06-10 19:24:08,@peterkmurphy Oh how fucking convenient it is to be against nuclear for decades and then when climate change starts… https://t.co/DNQ6kzRQla,2,Twitter for iPhone,
Titus Machiavelli,95339059,"Denver, Colorado",2009-12-08 03:08:35,And with the world on fire due to “global cooling” .. no wait… “global warming”…. No dammit … no wait I’ll get it…… https://t.co/YvWN3wz7UO,0,Twitter for iPhone,
